Team,Date Eliminated
Atlanta Hawks,Playoffs
Boston Celtics,Playoffs
Brooklyn Nets,2017/03/06
Charlotte Hornets,2017/04/07
Chicago Bulls,Playoffs
Cleveland Cavaliers,Playoffs
Dallas Mavericks,2017/04/01
Denver Nuggets,2017/04/09
Detroit Pistons,2017/04/07
Golden State Warriors,Playoffs
Houston Rockets,Playoffs
Indiana Pacers,Playoffs
LA Clippers,Playoffs
Los Angeles Lakers,2017/03/17
Memphis Grizzlies,Playoffs
Miami Heat,2017/04/12
Milwaukee Bucks,Playoffs
Minnesota Timberwolves,2017/04/01
New Orleans Pelicans,2017/04/02
New York Knicks,2017/03/28
Oklahoma City Thunder,Playoffs
Orlando Magic,2017/03/27
Philadelphia 76ers,2017/03/28
Phoenix Suns,2017/03/21
Portland Trail Blazers,Playoffs
Sacramento Kings,2017/03/29
San Antonio Spurs,Playoffs
Toronto Raptors,Playoffs
Utah Jazz,Playoffs
Washington Wizards,Playoffs
